FileName,Cache Size (bytes),Associativity,Access Time (ns),Dynamic read energy/access (nJ),Area (mm2)
Associativity0_Cache256KB.txt (Fully),262144,0,5.26487,(Fully associative array) 3.80008,Fully associative cache array 20.0263
Associativity0_Cache1MB.txt (Full),1048576,0,7.54315,(Fully associative array) 10.8554,Fully associative cache array (66.632)
Associativity1_Cache256KB.txt (Direct Mapped),262144,1,1.95313,0.547392,3.49636
Associativity1_Cache1MB.txt (Direct Mapped),1048576,1,3.56072,1.1613,18.0158
Associativity2_Cache256KB.txt,262144,2,1.95586,0.555099,3.49824
Associativity2_Cache1MB.txt,1048576,2,3.59361,1.16822,18.0224
Associativity4_Cache256KB.txt,262144,4,1.96104,0.567122,3.49898
Associativity4_Cache1MB.txt,1048576,4,3.608,1.17925,18.0265
Associativity8_Cache32KB.txt,32768,8,2.29369,0.718792,1.42964
Associativity8_Cache64KB.txt,65536,8,2.42581,0.747806,1.79995
Associativity8_Cache128KB.txt,131072,8,2.65835,0.80524,2.53908
Associativity8_Cache256KB.txt,262144,8,2.77869,1.01914,5.89004
Associativity8_Cache512KB.txt,524288,8,3.13704,1.13574,8.87324
Associativity8_Cache1MB.txt,1048576,8,3.95873,1.36791,14.8358
Associativity8_Cache2MB.txt,2097152,8,4.97438,1.82086,30.4302
Associativity8_Cache4MB.txt,4194304,8,6.60913,2.62539,63.972
Associativity8_Cache8MB.txt,8388608,8,8.85425,3.94842,116.774
Associativity8_Cache16MB.txt,16777216,8,12.1903,5.30023,226.332
Associativity8_Cache32MB.txt,33554432,8,16.0888,8.16818,429.112
Associativity8_Cache64MB.txt,67108864,8,22.0822,11.0837,862.154
Associativity8_Cache128MB.txt,134217728,8,30.5195,15.5768,1682.63
Associativity8_Cache256MB.txt,268435456,8,40.9488,20.8614,3351.49
Associativity8_Cache512MB.txt,536870912,8,56.0033,31.2065,6513.95
Associativity8_Cache1GB.txt,1073741824,8,77.0922,42.2807,12803.9
Associativity16_Cache256KB.txt,262144,16,4.809,1.89659,4.809
Associativity16_Cache1MB.txt,1048576,16,5.4195,2.24277,17.6493
Associativity8_Cache2GB_Block128.txt,,,,,
Associativity8_Cache2KB.txt,,,,,
Associativity8_Cache4KB.txt,,,,,